region,strength,motion,fhr,dlat,dlon
east,weak,east,24.0,0.06482608695652178,0.13277077294686007
east,weak,east,36.0,0.09723913043478268,0.1991561594202901
east,weak,east,48.0,0.12965217391304357,0.26554154589372014
east,weak,east,72.0,0.19447826086956535,0.3983123188405802
east,weak,east,96.0,0.19447826086956535,0.3983123188405802
east,weak,north,0.0,0.0,0.0
east,weak,north,12.0,0.05081563307493539,0.01591634366925065
east,weak,north,24.0,0.10163126614987078,0.0318326873385013
east,weak,north,36.0,0.15244689922480617,0.047749031007751956
east,weak,north,48.0,0.20326253229974156,0.0636653746770026
east,weak,north,72.0,0.30489379844961234,0.09549806201550391
east,weak,north,96.0,0.30489379844961234,0.09549806201550391
east,strong,west,0.0,0.0,-0.0
east,strong,west,12.0,0.0302028700675823,-0.02602949640287772
east,strong,west,24.0,0.0604057401351646,-0.05205899280575544
east,strong,west,36.0,0.09060861020274691,-0.07808848920863316
east,strong,west,48.0,0.1208114802703292,-0.10411798561151088
east,strong,west,72.0,0.18121722040549382,-0.15617697841726633
east,strong,west,96.0,0.18121722040549382,-0.15617697841726633
east,strong,south,0.0,0.0,-0.0
east,strong,south,12.0,0.0302028700675823,-0.02602949640287772
east,strong,south,24.0,0.0604057401351646,-0.05205899280575544
east,strong,south,36.0,0.09060861020274691,-0.07808848920863316
east,strong,south,48.0,0.1208114802703292,-0.10411798561151088
east,strong,south,72.0,0.18121722040549382,-0.15617697841726633
east,strong,south,96.0,0.18121722040549382,-0.15617697841726633
east,strong,east,0.0,0.0,-0.0
east,strong,east,12.0,0.0302028700675823,-0.02602949640287772
east,strong,east,24.0,0.0604057401351646,-0.05205899280575544
east,strong,east,36.0,0.09060861020274691,-0.07808848920863316
east,strong,east,48.0,0.1208114802703292,-0.10411798561151088
east,strong,east,72.0,0.18121722040549382,-0.15617697841726633
east,strong,east,96.0,0.18121722040549382,-0.15617697841726633
east,strong,north,0.0,0.0,-0.0
east,strong,north,12.0,0.0302028700675823,-0.02602949640287772
east,strong,north,24.0,0.0604057401351646,-0.05205899280575544
east,strong,north,36.0,0.09060861020274691,-0.07808848920863316
east,strong,north,48.0,0.1208114802703292,-0.10411798561151088
east,strong,north,72.0,0.18121722040549382,-0.15617697841726633
east,strong,north,96.0,0.18121722040549382,-0.15617697841726633
all,all,all,0.0,0.0,-0.0
all,all,all,12.0,0.0302028700675823,-0.02602949640287772
all,all,all,24.0,0.0604057401351646,-0.05205899280575544
all,all,all,36.0,0.09060861020274691,-0.07808848920863316
all,all,all,48.0,0.1208114802703292,-0.10411798561151088
all,all,all,72.0,0.18121722040549382,-0.15617697841726633
all,all,all,96.0,0.18121722040549382,-0.15617697841726633
