SID,LastLat,LastLon,LastWind,LandfallLat,LandfallLon,LastDir,LastSpeed
1907238N21087,20.7,87.4,0.0,20.7,87.4,,
1907244N23089,24.3749,87.1114,0.0,24.5,87.0,320.0,4.0
1907278N21090,20.9667,90.8333,0.0,21.0,90.9,62.0,2.0
1907286N15091,13.6865,82.0666,0.0,13.6,82.0,215.0,3.0
1907316N10087,15.4897,81.7097,0.0,15.6,81.6,316.0,4.0
1907328N09096,12.0553,83.3795,0.0,12.3,82.8,293.0,15.0
1908168N21089,24.2366,88.0937,0.0,24.2,88.0,245.0,2.0
1908214N20086,21.8857,81.4181,0.0,22.0,81.0,286.0,10.0
1908220N21088,22.1835,86.7171,0.0,22.3,86.6,314.0,4.0
1908241N19087,24.6999,78.4249,0.0,24.8972,78.0681,302.0,8.0
1908268N17085,16.5001,81.1792,0.0,16.5,81.1,270.0,2.0
1908306N10084,13.5187,83.8056,0.0,13.8,83.9,17.0,7.0
1908314N14093,15.6906,93.2948,0.0,15.8,93.3,4.0,3.0
1908365N08083,10.3076,78.9951,0.0,10.4642,78.3058,286.0,12.0
1909123N09084,10.6672,80.5672,0.0,10.8,80.3,297.0,7.0
1909132N14090,17.2305,92.7016,0.0,17.1,92.9,126.0,5.0
1909212N21089,23.992,78.7884,0.0,24.2172,78.1088,289.0,13.0
1909245N15084,17.2231,79.2418,0.0,17.451,78.8183,299.0,5.0
1909264N21088,21.2535,82.5174,0.0,21.3,82.0,276.0,12.0
1909288N14094,23.4512,89.3038,0.0,23.7,89.4,20.0,6.0
1909297N16094,19.3952,84.9629,0.0,19.5,84.7,292.0,6.0
1909336N12085,21.5476,91.8487,0.0,21.8,92.2,51.0,10.0
1910103N12090,21.6472,95.4909,0.0,22.0,96.0,53.0,14.0
1910182N20090,22.5501,79.08,0.0,22.6504,78.1866,278.0,15.0
1910213N19087,24.0424,78.4524,0.0,24.3602,78.1865,317.0,8.0
1910251N22088,26.3596,78.7321,0.0,26.7306,78.28,310.0,12.0
1910307N09083,14.5236,81.3849,0.0,14.7,81.0,296.0,10.0
1910316N15086,19.1305,91.4402,0.0,19.2,91.7,75.0,6.0
1911105N14087,18.7764,89.2422,0.0,19.0,89.5,47.0,8.0
1911160N18089,23.5409,89.3279,0.0,23.6,89.5,69.0,4.0
1911169N21088,23.9747,85.7131,0.0,24.0,86.0,86.0,6.0
1911240N19087,21.7891,81.3317,0.0,22.0,81.0,304.0,9.0
1911263N16093,24.6188,78.2672,0.0,24.8102,78.0197,311.0,6.0
1911293N10097,16.8334,92.4196,0.0,17.0,92.5,23.0,4.0
1912209N20088,22.9791,79.8704,0.0,23.3061,78.5762,286.0,23.0
1912214N18086,23.8698,80.5073,0.0,23.9,80.4,286.0,3.0
1912241N20087,26.2712,78.4037,0.0,26.4143,78.0495,293.0,7.0
1912249N22089,25.3637,78.6012,0.0,25.4,78.3,278.0,7.0
1912266N15085,19.6784,78.907,0.0,20.0857,78.3363,305.0,14.0
1912302N08089,24.4293,88.2774,0.0,24.7,88.4,21.0,7.0
1912324N08080,8.15524,79.2601,0.0,8.40854,78.529,288.0,13.0
1912352N06082,6.867,78.567,0.0,7.0,78.3,297.0,7.0
1913197N19087,22.2272,79.6991,0.0,22.5206,78.6535,287.0,20.0
1913204N21090,23.5727,79.1083,0.0,23.6208,78.4173,274.0,13.0
1913211N22089,23.0512,81.2563,0.0,23.1,81.1,291.0,4.0
1913218N23090,26.0,88.9083,0.0,26.0,89.0,90.0,2.0
1913236N24079,24.0,78.9,0.0,24.1672,78.4004,290.0,10.0
1913242N20087,21.5418,78.5119,0.0,21.7064,78.1103,295.0,8.0
1913286N18086,24.8775,88.879,0.0,25.1,89.1,42.0,7.0
1913304N15093,15.6167,93.3,0.0,15.7,93.3,0.0,2.0
1913311N07086,10.0826,81.5409,0.0,10.2,81.3,296.0,6.0
1913349N06085,7.01683,82.8835,0.0,7.1,82.7,297.0,5.0
1914133N13091,23.4559,87.7577,0.0,23.7,88.2,59.0,11.0
1914153N18089,20.0519,92.5151,0.0,20.2,92.9,69.0,9.0
1914175N19087,20.8469,78.3409,0.0,20.9493,78.0417,288.0,6.0
1914191N19087,24.635,78.9339,0.0,24.7,78.8,299.0,3.0
1914216N24086,25.0,79.8136,0.0,25.0,79.6,270.0,5.0
1914256N18083,19.4219,78.4628,0.0,19.5918,78.2404,309.0,5.0
1914275N11094,17.7969,90.276,0.0,18.0,90.3,7.0,5.0
1914353N09085,16.346,87.5278,0.0,16.6,87.8,46.0,9.0
1915174N17088,23.3481,78.6423,0.0,23.6,78.5,333.0,7.0
1915213N19089,26.1698,78.3314,0.0,26.3,78.3,347.0,3.0
1915238N18087,26.2604,81.5791,0.0,26.3,81.6,32.0,1.0
1915249N19086,19.0803,81.5489,0.0,19.3,81.3,314.0,8.0
1915273N17089,25.5698,82.0186,0.0,25.7,82.1,28.0,4.0
1915283N19087,19.7033,81.518,0.0,19.8,81.0,282.0,12.0
1915308N13087,15.0415,79.2064,0.0,15.0867,78.5242,275.0,14.0
1915319N17085,17.9835,86.283,0.0,18.1,86.4,47.0,4.0
1915337N10090,14.6804,94.6132,0.0,14.8,94.8,59.0,5.0
1916125N13091,22.7306,94.0778,0.0,23.1,94.3,29.0,11.0
1916156N19091,24.3966,86.5963,0.0,24.5,86.3,291.0,7.0
1916163N21088,24.1248,78.9174,0.0,24.3631,78.3743,295.0,12.0
1916226N21089,20.7858,84.0335,0.0,20.8,83.6,273.0,10.0
1916232N25080,24.7977,78.5746,0.0,24.8574,78.2859,282.0,5.0
1916263N18091,23.6499,78.2052,0.0,23.7499,78.0424,302.0,4.0
1916276N18088,24.3205,84.5235,0.0,24.4,84.9,78.0,9.0
1916289N10088,12.0071,79.1042,0.0,12.2074,78.4023,287.0,14.0
1916295N12088,18.7297,78.4254,0.0,18.8805,78.2025,304.0,6.0
1916301N15092,16.2035,81.4823,0.0,16.2,81.2,270.0,6.0
1916306N18090,22.3671,93.1311,0.0,22.8,93.3,18.0,11.0
1916312N15095,24.1266,89.9135,0.0,24.2,90.2,75.0,7.0
1916326N09088,12.5215,79.0876,0.0,12.6,78.7,281.0,9.0
1917121N10084,24.4856,87.2345,0.0,24.8,87.2,355.0,8.0
1917164N22089,25.4779,78.9742,0.0,25.6711,78.425,291.0,10.0
1917177N20088,24.8035,79.0902,0.0,25.0,79.0,339.0,5.0
1917211N23090,25.3708,82.2209,0.0,25.4,82.0,278.0,5.0
1917219N21088,24.3735,79.3835,0.0,24.6601,78.7225,295.0,12.0
1917248N18087,25.287,78.4236,0.0,25.6514,78.1811,328.0,9.0
1917274N19089,24.3755,88.8415,0.0,24.4,89.0,79.0,3.0
1917297N11093,23.1355,89.46,0.0,23.4,89.6,25.0,7.0
1918014N07086,13.9762,80.9763,0.0,14.1,80.8,304.0,5.0
1918144N21091,21.5669,92.0665,0.0,21.6,92.2,80.0,3.0
1918165N21088,23.6859,81.8942,0.0,23.9,81.9,357.0,5.0
1918209N20089,21.6436,83.2682,0.0,21.8,83.0,301.0,7.0
1918226N20088,20.7479,87.0729,0.0,20.8,87.0,306.0,2.0
1918238N24084,23.835,78.5575,0.0,23.9555,78.0607,282.0,9.0
1918247N20088,23.7959,86.1303,0.0,23.9,86.0,311.0,4.0
1918285N20089,20.6174,91.3661,0.0,20.7,91.6,68.0,6.0
1918314N10085,12.5022,80.0183,0.0,12.7,79.5,291.0,13.0
1918321N09083,13.4907,85.2467,0.0,13.6,85.3,22.0,3.0
1918343N07088,11.0742,83.3513,0.0,11.2,83.2,309.0,4.0
1919182N20087,24.6224,78.906,0.0,24.8,78.9,0.0,4.0
1919209N18090,23.6459,78.6736,0.0,23.9463,78.042,294.0,14.0
1919217N21091,26.2764,80.3296,0.0,26.4,80.1,302.0,6.0
1919223N22089,23.8696,82.3424,0.0,23.9,82.0,276.0,8.0
1919236N19088,26.8377,78.7929,0.0,26.9,78.6,290.0,4.0
1919243N20089,24.3138,84.2702,0.0,24.4,84.1,297.0,4.0
1919266N15089,24.2852,90.6284,0.0,24.6,90.9,38.0,9.0
1919305N10084,11.585,79.086,0.0,11.6167,78.2369,272.0,10.0
1919317N14085,20.3302,89.4009,0.0,20.5,89.6,50.0,6.0
1919363N08086,6.42882,78.8624,0.0,6.28676,78.1523,258.0,13.0
1920121N11088,18.4681,92.2864,0.0,18.6,92.6,66.0,8.0
1920172N20087,27.4787,78.4686,0.0,27.7929,78.1922,322.0,8.0
1920184N17087,20.0954,85.5203,0.0,20.2,85.3,298.0,5.0
1920197N17087,20.1076,85.5626,0.0,20.2,85.3,293.0,5.0
1920203N23089,26.4511,78.4785,0.0,26.7,78.4,346.0,6.0
1920212N21089,23.2666,84.6627,0.0,23.4,84.5,311.0,5.0
1920218N21092,24.7856,81.3075,0.0,24.9,81.1,301.0,6.0
1920238N19088,22.8287,78.5107,0.0,22.9,78.1,280.0,9.0
1920250N17090,24.1545,85.1937,0.0,24.4,85.0,323.0,7.0
1921096N10084,15.1,82.4604,0.0,15.2,82.5,21.0,3.0
1921205N18089,24.4187,79.529,0.0,24.5608,78.5848,280.0,18.0
1921220N21088,23.3354,83.3854,0.0,23.5,83.0,293.0,9.0
1921245N18089,24.1787,78.1925,0.0,24.3027,78.0096,307.0,5.0
